lat,lon,l2,l3,l4,l5,l6
40.685140000000004,-73.820599999999999,1,0,1,0,5
40.7019114,-73.936979000000008,0,2,3,4,2
40.803593599999999,-73.919779599999998,1,1,0,1,1
40.881020200000002,-73.90330809999999,1,1,0,1,1
40.743162799999993,-73.825551099999998,1,0,1,0,5
40.867398000000001,-73.921033200000011,1,1,0,1,1
40.6977604,-73.793317400000007,1,0,1,0,5
40.7756404,-73.960511400000001,1,1,0,3,3
40.695850899999996,-73.819980599999994,1,0,1,0,5
40.624764899999995,-73.96517209999999,0,2,3,4,0
40.860839299999995,-73.839941699999997,1,1,0,1,1
40.869273999999997,-73.8305316,1,1,0,1,1
40.766182499999999,-73.936820799999992,1,1,0,3,3
40.673784699999999,-73.8830454,0,0,3,4,2
40.615360299999992,-73.987069300000002,0,2,3,4,0
40.744416100000002,-73.886097200000009,1,1,0,3,2
40.629158500000003,-73.9279619,0,2,3,4,0
40.663283899999996,-73.960956400000001,0,2,3,4,0
40.831264000000004,-73.906441099999995,1,1,0,1,1
40.704875200000004,-73.81277879999999,1,0,1,0,5
40.743973199999999,-73.88509470000001,1,1,0,3,2
40.679034600000001,-73.938507700000002,0,2,3,4,0
40.637459200000002,-73.994642200000001,0,2,3,4,0
40.667431899999997,-73.744737000000001,1,0,1,0,5
40.715237200000004,-74.013379400000005,0,2,3,3,3
40.665250499999999,-73.736534099999986,1,0,1,0,5
40.7419814,-73.946421299999997,0,1,3,3,3
40.876617600000003,-73.839249200000012,1,1,0,1,1
40.801172200000003,-73.961457100000004,1,1,0,3,3
40.745304299999994,-73.825942400000017,1,0,1,0,5
40.869630100000002,-73.835704700000008,1,1,0,1,1
40.767187499999999,-73.989963900000006,0,1,0,3,3
40.670581799999994,-73.930952500000004,0,2,3,4,0
40.574949700000005,-74.103206999999998,0,2,2,2,4
40.6341088,-74.032595400000005,0,2,3,4,0
40.68253,-73.844090600000001,1,0,1,0,2
40.704886999999999,-73.942811900000009,0,2,3,3,2
40.862768100000004,-73.843436700000012,1,1,0,1,1
40.843977799999998,-73.913857800000002,1,1,0,1,1
40.787655900000004,-73.977061700000007,1,1,0,3,3
40.728387100000006,-73.984716599999999,0,2,3,3,3
40.694837799999995,-73.983923700000005,0,2,3,4,3
40.717722200000004,-73.965069400000004,0,2,3,3,3
40.7239206,-73.894336300000006,1,1,3,3,2
40.6852929,-73.976199099999988,0,2,3,4,0
40.756286700000004,-73.860720200000003,1,0,0,0,2
40.743141100000003,-73.749798800000008,1,0,1,0,5
40.649529999999999,-73.916330000000002,0,2,3,4,0
40.773335600000003,-73.955053799999988,1,1,0,3,3
40.835529999999999,-73.863156200000006,1,1,0,1,1
40.536916399999996,-74.225015400000004,0,2,2,2,4
40.664333899999995,-73.896838500000001,0,2,3,4,2
40.746078099999998,-73.974935900000006,0,2,3,3,3
40.657338399999993,-73.946622599999998,0,2,3,4,0
40.753385299999998,-73.819092400000017,1,0,1,0,5
40.710464100000003,-73.986621599999992,0,2,3,3,3
40.727803299999998,-73.805152100000001,1,0,1,0,5
40.619484800000002,-73.918264699999995,0,2,3,4,0
40.687636600000005,-73.938323099999991,0,2,3,4,2
40.586106600000001,-74.091076799999996,0,2,2,2,4
40.674401099999997,-73.871655900000007,1,0,1,0,2
40.676214100000003,-73.755637900000011,1,0,1,0,5
40.785866399999996,-73.950928700000006,1,1,0,3,3
40.839882099999997,-73.916783200000012,1,1,0,1,1
40.638443000000002,-73.952139700000004,0,2,3,4,0
40.759491400000002,-73.97361690000001,0,1,3,3,3
40.608702000000001,-73.974029400000006,0,2,3,4,0
40.6751042,-73.86480490000001,1,0,1,0,2
40.714423799999999,-73.914237999999997,0,2,3,3,2
40.618710799999995,-73.930757599999993,0,2,3,4,0
40.749355799999996,-73.888026900000014,1,1,0,3,2
40.743059799999997,-73.877683900000008,1,1,0,3,2
40.641587999999999,-73.925480199999996,0,2,3,4,0
40.820188999999999,-73.890675200000004,1,1,0,1,1
40.677413200000004,-73.930318099999994,0,2,3,4,2
40.7608909,-73.9085903,1,1,0,3,3
40.696668899999999,-73.886809900000003,1,0,3,4,2
40.789220100000001,-73.839084700000001,1,1,0,1,1
40.897251399999995,-73.855248700000004,1,1,0,1,1
40.805736100000004,-73.940644599999999,1,1,0,3,1
40.7405592,-73.856231399999999,1,0,1,0,2
40.591876499999998,-73.791351500000005,1,0,1,0,5
40.815439899999994,-73.923999499999994,1,1,0,1,1
40.869760299999996,-73.857246500000002,1,1,0,1,1
40.862309400000001,-73.909868099999997,1,1,0,1,1
40.870290999999995,-73.843169500000002,1,1,0,1,1
40.712949700000003,-73.906920999999997,1,2,3,3,2
40.6554857,-73.960305000000005,0,2,3,4,0
40.881839100000001,-73.830412800000005,1,1,0,1,1
40.668647899999996,-73.928348200000002,0,2,3,4,0
40.744007600000003,-73.901500499999997,1,1,0,3,2
40.703989299999996,-73.798545799999999,1,0,1,0,5
40.799891500000001,-73.938583899999998,1,1,0,3,3
40.6624695,-73.992254099999997,0,2,3,4,0
40.807233600000004,-73.920537400000001,1,1,0,1,1
40.6760813,-73.906125299999999,0,2,3,4,2
40.677651200000007,-73.9497681,0,2,3,4,0
40.677026599999998,-73.952678000000006,0,2,3,4,0
40.619583200000008,-73.95840290000001,0,2,3,4,0
40.746134699999999,-73.941708200000008,0,1,3,3,3
40.791085100000004,-73.95343840000001,1,1,0,3,3
40.701771799999996,-73.806696099999996,1,0,1,0,5
40.662453200000002,-73.949368700000008,0,2,3,4,0
40.714143900000003,-73.752908900000008,1,0,1,0,5
40.654730000000001,-73.90692,0,2,3,4,2
40.655047799999991,-73.956301199999999,0,2,3,4,0
40.662745200000003,-73.921931499999999,0,2,3,4,2
40.818534399999997,-73.945423900000009,1,1,0,1,1
40.672561100000003,-73.983467599999997,0,2,3,4,0
40.8203405,-73.940021000000002,1,1,0,1,1
40.700009299999998,-73.830886099999987,1,0,1,0,5
40.873139399999999,-73.905713299999988,1,1,0,1,1
40.7704959,-73.874803,1,1,0,1,2
40.6995991,-73.939924099999999,0,2,3,4,2
40.823264000000002,-73.952761900000013,1,1,0,1,1
40.572411799999998,-74.095636800000008,0,2,2,2,4
40.665629899999999,-73.739207300000004,1,0,1,0,5
40.708612000000002,-74.004984800000003,0,2,3,3,3
40.691458200000007,-73.917790599999989,0,2,3,4,2
40.679204200000001,-73.955293900000001,0,2,3,4,0
40.695022299999998,-73.988846099999989,0,2,3,4,3
40.856287799999997,-73.913888799999995,1,1,0,1,1
40.702556099999995,-73.76231820000001,1,0,1,0,5
40.697815599999998,-73.763539600000001,1,0,1,0,5
40.676938399999997,-73.921824700000002,0,2,3,4,2
40.874152299999999,-73.8469245,1,1,0,1,1
40.682774000000002,-73.843240000000009,1,0,1,0,2
40.622688799999999,-73.961866299999997,0,2,3,4,0
40.630672799999992,-73.981889199999998,0,2,3,4,0
40.6555605,-73.892711000000006,0,2,3,4,2
40.690938600000003,-73.924563299999988,0,2,3,4,2
40.887228799999995,-73.86517640000001,1,1,0,1,1
40.654624400000003,-73.942260300000001,0,2,3,4,0
40.704423900000002,-73.792849500000003,1,0,1,0,5
40.758706400000001,-73.93791800000001,1,1,0,3,3
